epoch,accuracy,loss,val_accuracy,val_loss
0,0.7219839096069336,0.8064820766448975,0.2016129046678543,7.080689907073975
1,0.8230562806129456,0.5362567901611328,0.23870967328548431,3.891974925994873
2,0.8466488122940063,0.4717889428138733,0.5677419304847717,1.2237443923950195
3,0.8715817928314209,0.40633437037467957,0.3475806415081024,2.4118120670318604
4,0.8809651732444763,0.36596235632896423,0.6290322542190552,0.9642094969749451
5,0.8804289698600769,0.35687577724456787,0.6120967864990234,1.7082788944244385
6,0.9042895436286926,0.28434520959854126,0.5145161151885986,1.9981012344360352
7,0.9101876616477966,0.2829659879207611,0.5080645084381104,1.7821123600006104
8,0.922520101070404,0.24301286041736603,0.5201612710952759,2.117048501968384
9,0.9211796522140503,0.2446405291557312,0.6911290287971497,1.1392232179641724
